File,TimeStamp,NBT,NBL
NB_MAY_8.csv,2026/05/08 09:15:00.000,89,4
NB_MAY_8.csv,2026/05/08 09:30:00.000,107,8
NB_MAY_8.csv,2026/05/08 09:45:00.000,130,3
NB_MAY_8.csv,2026/05/08 10:00:00.000,114,4
NB_MAY_8.csv,2026/05/08 10:15:00.000,102,3
NB_MAY_8.csv,2026/05/08 10:30:00.000,82,2
NB_MAY_8.csv,2026/05/08 10:45:00.000,110,3
NB_MAY_8.csv,2026/05/08 11:00:00.000,107,7
NB_MAY_8.csv,2026/05/08 11:15:00.000,116,2
NB_MAY_8.csv,2026/05/08 11:30:00.000,126,7
NB_MAY_8.csv,2026/05/08 11:45:00.000,124,6
NB_MAY_8.csv,2026/05/08 12:00:00.000,146,3
NB_MAY_8.csv,2026/05/08 12:15:00.000,114,8
NB_MAY_8.csv,2026/05/08 12:30:00.000,123,3
NB_MAY_8.csv,2026/05/08 12:45:00.000,123,10
NB_MAY_8.csv,2026/05/08 13:00:00.000,127,4
NB_MAY_8.csv,2026/05/08 13:15:00.000,134,4
NB_MAY_8.csv,2026/05/08 13:30:00.000,127,5
NB_MAY_8.csv,2026/05/08 13:45:00.000,135,6
NB_MAY_8.csv,2026/05/08 14:00:00.000,118,3
NB_MAY_8.csv,2026/05/08 14:15:00.000,107,3
NB_MAY_8.csv,2026/05/08 14:30:00.000,109,11
NB_MAY_8.csv,2026/05/08 14:45:00.000,135,7
NB_MAY_8.csv,2026/05/08 15:00:00.000,102,4
NB_MAY_8.csv,2026/05/08 15:15:00.000,115,6
NB_MAY_8.csv,2026/05/08 15:30:00.000,97,7
NB_MAY_8.csv,2026/05/08 15:45:00.000,129,2
NB_MAY_8.csv,2026/05/08 16:00:00.000,110,6
NB_MAY_8.csv,2026/05/08 16:15:00.000,111,7
NB_MAY_8.csv,2026/05/08 16:30:00.000,135,8
NB_MAY_8.csv,2026/05/08 16:45:00.000,139,4
NB_MAY_8.csv,2026/05/08 17:00:00.000,143,4
NB_MAY_8.csv,2026/05/08 17:15:00.000,137,5
NB_MAY_8.csv,2026/05/08 17:30:00.000,113,6
NB_MAY_8.csv,2026/05/08 17:45:00.000,137,5
NB_MAY_8.csv,2026/05/08 18:00:00.000,131,5
NB_MAY_8.csv,2026/05/08 18:15:00.000,112,1
NB_MAY_8.csv,2026/05/08 18:30:00.000,97,3
NB_MAY_8.csv,2026/05/08 18:45:00.000,100,3
NB_MAY_8.csv,2026/05/08 19:00:00.000,91,2
NB_MAY_8.csv,2026/05/08 19:15:00.000,91,0
NB_MAY_8.csv,2026/05/08 19:30:00.000,80,4
NB_MAY_8.csv,2026/05/08 19:45:00.000,75,4
NB_MAY_8.csv,2026/05/08 20:00:00.000,80,2
NB_MAY_8.csv,2026/05/08 20:15:00.000,63,4
NB_MAY_8.csv,2026/05/08 20:30:00.000,76,2
NB_MAY_8.csv,2026/05/08 20:45:00.000,53,2
